"x"	"y"	"z"	"dist"
106.33	70.33	180	4.63417738115407
108.67	66.33	180	0
74.67	55.33	192	2.97397041007472
76	52.67	192	0
81	18	195	2.33
81	15.67	195	0
49.33	12	199	3.58577746102571
48	15.33	199	0
57.67	31.33	206	3.42864404685001
59.33	34.33	206	0
37.33	110	209	3.33600059952033
40	112	209	0
12	85	217	4.0160801784825
14.67	88	217	0
146	39	218	7.51783213433234
147.67	31.67	218	0
138.67	37.33	218	3.14396246796938
140.33	40	218	0
81.33	70.33	222	4.4820642565675
84.33	67	222	0
179.33	114.33	194	2.841760018017
180.33	111.67	194	0
219.67	141.33	200	4.70791886081315
219	136.67	200	0
159.33	116.33	200	3.34731235471086
159.67	113	200	0
136.67	186.67	212	5.52047099439893
134.33	191.67	212	0
109	174	212	3.07390630956768
109.67	171	212	0
111	162.67	212	2.54472002389259
112	160.33	212	0
154.67	125.33	216	4.33872100969862
158.33	123	216	0
115.33	186	216	4.01608017848249
118.33	188.67	216	0
188	159.33	228	3.60555127546399
190	162.33	228	0
136	165	233	3.14925387988963
137.67	162.33	233	0
282.67	66.67	213	6.00296593360315
284.67	72.33	213	0
278	15.67	213	4.45371754829603
279	11.33	213	0
220.33	31.33	242	3.4045851435968
219.67	34.67	242	0
255.67	46.67	255	2.68784300136744
254.33	49	255	0
120.67	78	285	4.38001141551024
121.33	82.33	285	0
31	64.33	155	3.90356247548313
32.33	68	155	0
7.33	47.33	158	3.35626280258266
7	50.67	158	0
55.67	14	173	4.6291359884972
58	18	173	0
67.67	71	176	3.54369863278468
70	73.67	176	0
46	45.33	224	3.68480664350248
46.33	49	224	0
59	40.67	226	3.39673372521309
58.33	44	226	0
76.33	91.67	226	3.32800240384528
74.33	94.33	226	0
34	67.33	252	3.28160021940516
35.33	70.33	252	0
40	66.33	252	2.75278041260105
39.33	69	252	0
35.67	92	253	4.7093311627024
39	88.67	253	0
160.33	189.67	119	94.67
255	189.67	119	0
258.33	192.67	119	98.3259884262548
160.33	184.67	119	0
168.67	168	121	4.94818148414145
172.33	164.67	121	0
221	216	124	3.14925387988963
222.67	213.33	124	0
239.67	230.67	131	2.69031596657343
240	228	131	0
269	183.67	131	3.33600059952032
271	181	131	0
155	218	140	5.09901951359278
156	213	140	0
213	236.33	142	3.68480664350247
213.33	240	142	0
223.33	128.67	143	3.80468132699702
225.67	125.67	143	0
159	204.33	157	3.43349675986449
160.67	201.33	157	0
215.33	159.33	158	3.43349675986449
217	162.33	158	0
159	208	159	2.40185345098323
160.33	210	159	0
169	216	159	4.34715999245484
171.33	219.67	159	0
175	195.33	159	5.2759454129094
172	199.67	159	0
137	170	168	4.34715999245484
139.33	173.67	168	0
204	197.33	168	5.08024605703305
206	202	168	0
260.33	123	168	2.40740524216429
261.67	121	168	0
184.67	162	174	3.16227766016838
187.67	163	174	0
